GeographicArea;Abbreviation;PopulationEstimate2020;AreaK2
Alabama;AL;5,033,094;135,767
Alaska;    AK;733,017;1,723,336
Arizona;    AZ;7,187,135;295,233
Arkansas;    AR;3,014,546;137,730
California;    CA;39,521,958;423,968
Colorado;    CO;5,787,129;269,602
Connecticut;    CT;3,579,918;14,356
Delaware;    DE;991,928;6,446
District of Columbia;    DC;670,917;"177	"
Florida;    FL;21,592,035;170,312
Georgia;    GA;10,732,888;153,910
Hawaii;    HI;1,451,252;28,313
Idaho;    ID;1,849,415;216,443
Illinois;    IL;12,799,088;149,994
Indiana;    IN;6,790,497;94,327
Iowa;    IA;3,191,141;145,744
Kansas;    KS;2,938,172;213,099
Kentucky;    KY;4,508,318;104,656
Louisiana;    LA;4,652,301;135,658
Maine;    ME;1,364,571;91,634
Maryland;    MD;6,177,935;32,131
Massachusetts;    MA;6,994,598;27,335
Michigan;    MI;10,072,703;250,485
Minnesota;    MN;5,710,735;225,163
Mississippi;    MS;2,958,536;125,438
Missouri;    MO;6,154,744;180,540
Montana;    MT;1,087,230;380,831
Nebraska;    NE;1,963,387;200,330
Nevada;    NV;3,116,967;286,380
New Hampshire;    NH;1,378,756;24,214
New Jersey;    NJ;9,272,794;22,590
New Mexico;    NM;2,118,606;314,917
New York;    NY;20,105,171;141,297
North Carolina;    NC;10,449,652;139,390
North Dakota;    ND;779,563;183,107
Ohio;    OH;11,798,905;116,096
Oklahoma;    OK;3,965,415;181,038
Oregon;    OR;4,243,779;254,800
Pennsylvania;    PA;12,996,143;119,279
Rhode Island;    RI;1,096,530;3,999
South Carolina;    SC;5,132,249;82,931
South Dakota;    SD;887,948;199,730
Tennessee;    TN;6,927,904;109,152
Texas;    TX;29,239,570;695,660
Utah;    UT;3,284,077;219,882
Vermont;    VT;642,977;24,905
Virginia;    VA;8,637,615;110,787
Washington;    WA;7,727,209;184,661
West Virginia;    WV;1,791,646;62,755
Wisconsin;    WI;5,897,375;169,634
Wyoming;    WY;577,681;253,334
American Samoa;AS;49,700;1,505
"	Guam";GU;153,800;1,476
Northern Mariana Islands;MP;47,300;5,115
Puerto Rico;PR;3,285,000;13,792
US Virgin Islands;VI;87,100;1,898
