GeographicArea;Abbreviation;PopulationEstimate2020;AreaK2
Alabama;AL;5033094;135767
Alaska;    AK;733017;1723336
Arizona;    AZ;7187135;295233
Arkansas;    AR;3014546;137730
California;    CA;39521958;423968
Colorado;    CO;5787129;269602
Connecticut;    CT;3579918;14356
Delaware;    DE;991928;6446
District of Columbia;    DC;670917;"177	"
Florida;    FL;21592035;170312
Georgia;    GA;10732888;153910
Hawaii;    HI;1451252;28313
Idaho;    ID;1849415;216443
Illinois;    IL;12799088;149994
Indiana;    IN;6790497;94327
Iowa;    IA;3191141;145744
Kansas;    KS;2938172;213099
Kentucky;    KY;4508318;104656
Louisiana;    LA;4652301;135658
Maine;    ME;1364571;91634
Maryland;    MD;6177935;32131
Massachusetts;    MA;6994598;27335
Michigan;    MI;10072703;250485
Minnesota;    MN;5710735;225163
Mississippi;    MS;2958536;125438
Missouri;    MO;6154744;180540
Montana;    MT;1087230;380831
Nebraska;    NE;1963387;200330
Nevada;    NV;3116967;286380
New Hampshire;    NH;1378756;24214
New Jersey;    NJ;9272794;22590
New Mexico;    NM;2118606;314917
New York;    NY;20105171;141297
North Carolina;    NC;10449652;139390
North Dakota;    ND;779563;183107
Ohio;    OH;11798905;116096
Oklahoma;    OK;3965415;181038
Oregon;    OR;4243779;254800
Pennsylvania;    PA;12996143;119279
Rhode Island;    RI;1096530;3999
South Carolina;    SC;5132249;82931
South Dakota;    SD;887948;199730
Tennessee;    TN;6927904;109152
Texas;    TX;29239570;695660
Utah;    UT;3284077;219882
Vermont;    VT;642977;24905
Virginia;    VA;8637615;110787
Washington;    WA;7727209;184661
West Virginia;    WV;1791646;62755
Wisconsin;    WI;5897375;169634
Wyoming;    WY;577681;253334
American Samoa;AS;49700;1505
"	Guam";GU;153800;1476
Northern Mariana Islands;MP;47300;5115
Puerto Rico;PR;3285000;13792
US Virgin Islands;VI;87100;1898
